,flow
Stat5a,0.17828195864830576
Pml,0.08873130911894123
Stat6,0.08298667985013708
Crebbp,0.07247859145231672
Gtf2f1,0.04573096414600997
Gtf2b,0.04281034544388973
Runx3,0.0388583088183907
Atf2,0.037681236148664254
Ncor2,0.03289656361243942
Cdk7,0.030571145465358995
Nfatc3,0.020324226629277575
Rbl2,0.017230115551875258
Atf7ip,0.01706150370753079
Elf4,0.005276265118574486
Tsc22d4,0.0023414757207547154
Tcf3,5.185634351079216e-05
Mapk14,4.973799150320701e-14
Rel,4.263256414560601e-14
Chd1,3.552713678800501e-14
Zhx1,3.552713678800501e-14
Irf2,2.842170943040401e-14
Hsf1,2.842170943040401e-14
Prmt1,2.1316282072803006e-14
Irf4,2.1316282072803006e-14
Arnt,1.4210854715202004e-14
Lef1,1.4210854715202004e-14
Zmiz1,1.4210854715202004e-14
Fosl2,7.105427357601002e-15
Mlx,7.105427357601002e-15
Nfkb2,7.105427357601002e-15
Batf,7.105427357601002e-15
Crem,7.105427357601002e-15
Brd1,7.105427357601002e-15
Maf,7.105427357601002e-15
Per1,0.0
Stat4,0.0
Sfpq,0.0
Taf3,0.0
Tbl1xr1,0.0
Nfrkb,0.0
Aff1,0.0
Nfe2l2,0.0
Hnrnpl,0.0
Clock,0.0
Cxxc1,0.0
Ep400,0.0
Foxp1,0.0
Mafk,0.0
Zmynd8,0.0
Gata3,-7.105427357601002e-15
Etv6,-7.105427357601002e-15
Elk4,-7.105427357601002e-15
Cic,-7.105427357601002e-15
Cbfb,-7.105427357601002e-15
Ikzf3,-1.4210854715202004e-14
Nr4a1,-1.4210854715202004e-14
Mllt3,-1.4210854715202004e-14
Relb,-2.1316282072803006e-14
Junb,-2.1316282072803006e-14
Mef2a,-2.1316282072803006e-14
Taf7,-2.842170943040401e-14
Bclaf1,-3.552713678800501e-14
