from	to	source	database
Cxcl1	Cxcr2	kegg_cytokines	kegg
Cxcl2	Cxcr2	kegg_cytokines	kegg
Cxcl5	Cxcr2	kegg_cytokines	kegg
Ppbp	Cxcr2	kegg_cytokines	kegg
Cxcl9	Cxcr3	kegg_cytokines	kegg
Cxcl10	Cxcr3	kegg_cytokines	kegg
Cxcl11	Cxcr3	kegg_cytokines	kegg
Cxcl12	Cxcr4	kegg_cytokines	kegg
Cxcl13	Cxcr5	kegg_cytokines	kegg
Cxcl16	Cxcr6	kegg_cytokines	kegg
Xcl1	Xcr1	kegg_cytokines	kegg
Cx3cl1	Cx3cr1	kegg_cytokines	kegg
Ccl20	Ccr6	kegg_cytokines	kegg
Ccl25	Ccr9	kegg_cytokines	kegg
Ccl17	Ccr4	kegg_cytokines	kegg
Ccl22	Ccr4	kegg_cytokines	kegg
Ccl19	Ccr7	kegg_cytokines	kegg
Ccl21a	Ccr7	kegg_cytokines	kegg
Ccl12	Ccr2	kegg_cytokines	kegg
Ccl2	Ccr2	kegg_cytokines	kegg
Ccl2	Ccr3	kegg_cytokines	kegg
Ccl7	Ccr2	kegg_cytokines	kegg
Ccl7	Ccr1	kegg_cytokines	kegg
Ccl5	Ccr5	kegg_cytokines	kegg
Ccl5	Ccr1	kegg_cytokines	kegg
Ccl5	Ccr3	kegg_cytokines	kegg
Ccl8	Ccr3	kegg_cytokines	kegg
Ccl11	Ccr3	kegg_cytokines	kegg
Ccl24	Ccr3	kegg_cytokines	kegg
Ccl26	Ccr3	kegg_cytokines	kegg
Ccl28	Ccr3	kegg_cytokines	kegg
Ccl28	Ccr10	kegg_cytokines	kegg
Gm13306	Ccr10	kegg_cytokines	kegg
Il6	Il6st	kegg_cytokines	kegg
Il6	Il6ra	kegg_cytokines	kegg
Il11	Il11ra1	kegg_cytokines	kegg
Il11	Il6st	kegg_cytokines	kegg
Osm	Lifr	kegg_cytokines	kegg
Osm	Il6st	kegg_cytokines	kegg
Osm	Osmr	kegg_cytokines	kegg
Lif	Lifr	kegg_cytokines	kegg
Lif	Il6st	kegg_cytokines	kegg
Cntf	Cntfr	kegg_cytokines	kegg
Cntf	Lifr	kegg_cytokines	kegg
Cntf	Il6st	kegg_cytokines	kegg
Clcf1	Cntfr	kegg_cytokines	kegg
Clcf1	Lifr	kegg_cytokines	kegg
Clcf1	Il6st	kegg_cytokines	kegg
Ctf1	Lifr	kegg_cytokines	kegg
Ctf1	Il6st	kegg_cytokines	kegg
Csf3	Csf3r	kegg_cytokines	kegg
Lep	Lepr	kegg_cytokines	kegg
Il4	Il13ra1	kegg_cytokines	kegg
Il4	Il4ra	kegg_cytokines	kegg
Il13	Il13ra1	kegg_cytokines	kegg
Il13	Il4ra	kegg_cytokines	kegg
Il12a	Il12rb2	kegg_cytokines	kegg
Il12a	Il12rb1	kegg_cytokines	kegg
Il23a	Il12rb1	kegg_cytokines	kegg
Il23a	Il23r	kegg_cytokines	kegg
Csf2	Csf2rb	kegg_cytokines	kegg
Csf2	Csf2ra	kegg_cytokines	kegg
Il5	Il5ra	kegg_cytokines	kegg
Il5	Csf2rb	kegg_cytokines	kegg
Il2	Il2rg	kegg_cytokines	kegg
Il2	Il2rb	kegg_cytokines	kegg
Il2	Il2ra	kegg_cytokines	kegg
Il4	Il2rg	kegg_cytokines	kegg
Il7	Il7r	kegg_cytokines	kegg
Il7	Il2rg	kegg_cytokines	kegg
Il9	Il9r	kegg_cytokines	kegg
Il9	Il2rg	kegg_cytokines	kegg
Il15	Il2rg	kegg_cytokines	kegg
Il15	Il15ra	kegg_cytokines	kegg
Il15	Il2rb	kegg_cytokines	kegg
Il21	Il2rg	kegg_cytokines	kegg
Il21	Il21r	kegg_cytokines	kegg
Tslp	Crlf2	kegg_cytokines	kegg
Tslp	Il7r	kegg_cytokines	kegg
Epo	Epor	kegg_cytokines	kegg
Prl	Prlr	kegg_cytokines	kegg
Thpo	Mpl	kegg_cytokines	kegg
Pdgfc	Pdgfra	kegg_cytokines	kegg
Pdgfa	Pdgfra	kegg_cytokines	kegg
Pdgfa	Pdgfrb	kegg_cytokines	kegg
Pdgfb	Pdgfra	kegg_cytokines	kegg
Pdgfb	Pdgfrb	kegg_cytokines	kegg
Plekho2	Pdgfrb	kegg_cytokines	kegg
Vegfb	Flt1	kegg_cytokines	kegg
Vegfa	Flt1	kegg_cytokines	kegg
Vegfa	Kdr	kegg_cytokines	kegg
Vegfd	Kdr	kegg_cytokines	kegg
Vegfd	Flt4	kegg_cytokines	kegg
Hgf	Met	kegg_cytokines	kegg
Egf	Egfr	kegg_cytokines	kegg
Csf1	Csf1r	kegg_cytokines	kegg
Kitl	Kit	kegg_cytokines	kegg
Flt3l	Flt3	kegg_cytokines	kegg
Ifnb1	Ifnar2	kegg_cytokines	kegg
Ifnb1	Ifnar1	kegg_cytokines	kegg
Ifnk	Ifnar2	kegg_cytokines	kegg
Ifnk	Ifnar1	kegg_cytokines	kegg
Ifne	Ifnar2	kegg_cytokines	kegg
Ifne	Ifnar1	kegg_cytokines	kegg
Ifng	Ifngr2	kegg_cytokines	kegg
Ifng	Ifngr1	kegg_cytokines	kegg
Il10	Il10rb	kegg_cytokines	kegg
Il10	Il10ra	kegg_cytokines	kegg
Il19	Il20ra	kegg_cytokines	kegg
Il20	Il20ra	kegg_cytokines	kegg
Il20	Il22ra1	kegg_cytokines	kegg
Il24	Il20ra	kegg_cytokines	kegg
Il24	Il22ra1	kegg_cytokines	kegg
Il22	Il10rb	kegg_cytokines	kegg
Il22	Il22ra1	kegg_cytokines	kegg
Il22	Il22ra2	kegg_cytokines	kegg
Ifnl2	Il10rb	kegg_cytokines	kegg
Ifnl2	Ifnlr1	kegg_cytokines	kegg
Tnfsf10	Tnfrsf10b	kegg_cytokines	kegg
Tnfsf10	Tnfrsf11b	kegg_cytokines	kegg
Tnfsf11	Tnfrsf11b	kegg_cytokines	kegg
Tnfsf11	Tnfrsf11a	kegg_cytokines	kegg
Tnfsf12	Tnfrsf12a	kegg_cytokines	kegg
Tnf	Tnfrsf1b	kegg_cytokines	kegg
Tnf	Tnfrsf1a	kegg_cytokines	kegg
Lta	Tnfrsf1b	kegg_cytokines	kegg
Lta	Tnfrsf1a	kegg_cytokines	kegg
Lta	Ltbr	kegg_cytokines	kegg
Lta	Tnfrsf14	kegg_cytokines	kegg
Ltb	Ltbr	kegg_cytokines	kegg
Tnfsf14	Ltbr	kegg_cytokines	kegg
Tnfsf14	Tnfrsf14	kegg_cytokines	kegg
Fasl	Fas	kegg_cytokines	kegg
Cd40lg	Cd40	kegg_cytokines	kegg
Cd70	Cd27	kegg_cytokines	kegg
Tnfsf8	Tnfrsf8	kegg_cytokines	kegg
Tnfsf9	Tnfrsf9	kegg_cytokines	kegg
Tnfsf4	Tnfrsf4	kegg_cytokines	kegg
Tnfsf18	Tnfrsf18	kegg_cytokines	kegg
Tnfsf13	Tnfrsf17	kegg_cytokines	kegg
Tnfsf13	Tnfrsf13b	kegg_cytokines	kegg
Tnfsf13b	Tnfrsf17	kegg_cytokines	kegg
Tnfsf13b	Tnfrsf13b	kegg_cytokines	kegg
Tnfsf13b	Tnfrsf13c	kegg_cytokines	kegg
Eda	Edar	kegg_cytokines	kegg
Eda	Eda2r	kegg_cytokines	kegg
Tgfb1	Tgfbr1	kegg_cytokines	kegg
Tgfb1	Tgfbr2	kegg_cytokines	kegg
Tgfb2	Tgfbr1	kegg_cytokines	kegg
Tgfb2	Tgfbr2	kegg_cytokines	kegg
Tgfb3	Tgfbr1	kegg_cytokines	kegg
Tgfb3	Tgfbr2	kegg_cytokines	kegg
Inhba	Acvr1	kegg_cytokines	kegg
Inhba	Acvr2a	kegg_cytokines	kegg
Inhba	Acvr1b	kegg_cytokines	kegg
Inhba	Acvr2b	kegg_cytokines	kegg
Inhbb	Acvr1	kegg_cytokines	kegg
Inhbb	Acvr2a	kegg_cytokines	kegg
Inhbb	Acvr1b	kegg_cytokines	kegg
Inhbb	Acvr2b	kegg_cytokines	kegg
Inhbc	Acvr1	kegg_cytokines	kegg
Inhbc	Acvr2a	kegg_cytokines	kegg
Inhbc	Acvr1b	kegg_cytokines	kegg
Inhbc	Acvr2b	kegg_cytokines	kegg
Inhbe	Acvr1	kegg_cytokines	kegg
Inhbe	Acvr2a	kegg_cytokines	kegg
Inhbe	Acvr1b	kegg_cytokines	kegg
Inhbe	Acvr2b	kegg_cytokines	kegg
Amh	Acvr1	kegg_cytokines	kegg
Amh	Amhr2	kegg_cytokines	kegg
Bmp2	Acvr1	kegg_cytokines	kegg
Bmp2	Bmpr2	kegg_cytokines	kegg
Bmp2	Bmpr1b	kegg_cytokines	kegg
Bmp2	Bmpr1a	kegg_cytokines	kegg
Bmp7	Bmpr1b	kegg_cytokines	kegg
Bmp7	Acvr2a	kegg_cytokines	kegg
Gdf5	Bmpr1a	kegg_cytokines	kegg
Gdf5	Acvr2a	kegg_cytokines	kegg
Il1a	Il1rap	kegg_cytokines	kegg
Il1a	Il1r1	kegg_cytokines	kegg
Il1a	Il1r2	kegg_cytokines	kegg
Il1b	Il1rap	kegg_cytokines	kegg
Il1b	Il1r1	kegg_cytokines	kegg
Il1b	Il1r2	kegg_cytokines	kegg
Il18	Il18rap	kegg_cytokines	kegg
Il18	Il18r1	kegg_cytokines	kegg
Cxcl11	Ackr3	kegg_cytokines	kegg
Cxcl12	Ackr3	kegg_cytokines	kegg
Ccl1	Ccr8	kegg_cytokines	kegg
Il25	Il17rb	kegg_cytokines	kegg
Il25	Il17ra	kegg_cytokines	kegg
Il17a	Il17ra	kegg_cytokines	kegg
Il17a	Il17rc	kegg_cytokines	kegg
Il17f	Il17ra	kegg_cytokines	kegg
Il17f	Il17rc	kegg_cytokines	kegg
Il17c	Il17ra	kegg_cytokines	kegg
Il17c	Il17re	kegg_cytokines	kegg
Il17b	Il17rb	kegg_cytokines	kegg
Cd80	Cd28	kegg_cams	kegg
Cd80	Ctla4	kegg_cams	kegg
Cd86	Cd28	kegg_cams	kegg
Cd86	Ctla4	kegg_cams	kegg
H2-DMa	Cd4	kegg_cams	kegg
H2-Bl	Cd8a	kegg_cams	kegg
Cd274	Pdcd1	kegg_cams	kegg
Pdcd1lg2	Pdcd1	kegg_cams	kegg
Cd40lg	Cd40	kegg_cams	kegg
Itgb2	Cd226	kegg_cams	kegg
Itgal	Cd226	kegg_cams	kegg
Itgb2	Icam1	kegg_cams	kegg
Itgal	Icam1	kegg_cams	kegg
Icam1	Itgb2	kegg_cams	kegg
Icam1	Itgal	kegg_cams	kegg
Cd28	Cd80	kegg_cams	kegg
Itgam	Icam1	kegg_cams	kegg
Itgb1	Vcam1	kegg_cams	kegg
Itga4	Vcam1	kegg_cams	kegg
Itga9	Vcam1	kegg_cams	kegg
Selplg	Selp	kegg_cams	kegg
Selplg	Sele	kegg_cams	kegg
Pecam1	Pecam1	kegg_cams	kegg
Pvr	Cd226	kegg_cams	kegg
Nectin2	Cd226	kegg_cams	kegg
Cdh2	Cdh2	kegg_cams	kegg
Cntn1	Nrcam	kegg_cams	kegg
Ncam1	Ncam1	kegg_cams	kegg
L1cam	L1cam	kegg_cams	kegg
Nectin1	Nectin1	kegg_cams	kegg
Cdh1	Cdh1	kegg_cams	kegg
Cdh4	Cdh4	kegg_cams	kegg
Alcam	Cd6	kegg_cams	kegg
Ptprc	Cd22	kegg_cams	kegg
Cd40	Cd40lg	kegg_cams	kegg
Cldn24	Cldn24	kegg_cams	kegg
Ocln	Ocln	kegg_cams	kegg
F11r	F11r	kegg_cams	kegg
Jam2	Jam2	kegg_cams	kegg
Jam3	Jam2	kegg_cams	kegg
Jam2	Jam3	kegg_cams	kegg
Jam3	Jam3	kegg_cams	kegg
Esam	Esam	kegg_cams	kegg
Cdh5	Cdh5	kegg_cams	kegg
Jam3	Itgb2	kegg_cams	kegg
Jam3	Itgam	kegg_cams	kegg
Selp	Selplg	kegg_cams	kegg
Icam2	Itgb2	kegg_cams	kegg
Icam2	Itgal	kegg_cams	kegg
F11r	Itgb2	kegg_cams	kegg
F11r	Itgal	kegg_cams	kegg
Icam2	Itgam	kegg_cams	kegg
Jam2	Itgb1	kegg_cams	kegg
Jam2	Itga4	kegg_cams	kegg
Vcam1	Itgb7	kegg_cams	kegg
Vcam1	Itga4	kegg_cams	kegg
Madcam1	Itgb7	kegg_cams	kegg
Madcam1	Itga4	kegg_cams	kegg
Sell	Madcam1	kegg_cams	kegg
Cd34	Sell	kegg_cams	kegg
Sele	Glg1	kegg_cams	kegg
Nectin3	Nectin1	kegg_cams	kegg
L1cam	Ncam1	kegg_cams	kegg
Cadm1	Cadm1	kegg_cams	kegg
Negr1	Negr1	kegg_cams	kegg
Cadm3	Cadm3	kegg_cams	kegg
Ptprm	Ptprm	kegg_cams	kegg
Cntn2	Cntn2	kegg_cams	kegg
Cntn2	L1cam	kegg_cams	kegg
Nfasc	Cntnap1	kegg_cams	kegg
Nfasc	Cntn1	kegg_cams	kegg
Cntn2	Cntnap2	kegg_cams	kegg
