Input-node Gene Symbol,Input-node GeneID,Output-node Gene Symbol,Output-node GeneID,Edge direction score
C1orf103,55791,MNAT1,4331,0.984
MAST2,23139,DYNLL1,8655,0.743
RAB22A,57403,APPL2,55198,0.558
TRAP1,10131,EXT2,2132,0.951
STAT2,6773,COPS4,51138,0.743
BMPR2,659,TUBB,203068,0.901
FYN,2534,SNCA,6622,0.862
PARD6B,84612,PARD6A,50855,0.855
CHUK,1147,PRKCI,5584,0.901
TRAF2,7186,FXR2,9513,0.988
PNRC1,10957,RARB,5915,0.952
HOXD4,3233,PBX1,5087,0.966
GUCA1B,2979,GUCY2D,3000,0.862
FGF4,2249,FGFR1,2260,0.951
GADD45G,10912,CRIP2,1397,0.984
KDR,3791,RASA1,5921,0.967
LDLRAP1,26119,AP2B1,163,0.951
PRKCB,5579,IKBKB,3551,0.951
MDM2,4193,ESR1,2099,0.901
KIT,3815,GRB10,2887,0.87
MAPK1,5594,EIF4EBP1,1978,0.901
TRAF1,7185,HIVEP3,59269,0.952
CA12,771,ATP5C1,509,0.895
NFASC,23114,SDCBP2,27111,0.575
NUDT21,11051,SHFM1,7979,0.895
UBE2I,7329,PIAS2,9063,0.902
KCTD13,253980,PCNA,5111,0.984
BMX,660,ITK,3702,0.558
USP33,23032,TCEB1,6921,0.986
LCK,3932,TRPV4,59341,0.951
PTPRS,5802,SUMO2,6613,0.967
SIN3A,25942,MNT,4335,0.902
EIF6,3692,PLK1,5347,0.967
ATP5A1,498,YWHAG,7532,0.966
ITGB1BP1,9270,EEF1A1,1915,0.999
JUN,3725,NCOA2,10499,0.902
KIAA1377,57562,SNRPG,6637,0.743
GGA2,23062,RABGEF1,27342,0.998
CNR2,1269,GNA15,2769,0.829
40436,9403,XRCC6,2547,0.951
RBBP4,5928,HDAC3,8841,0.793
TNFRSF10A,8797,BCL10,8915,1
CASP8,841,NR1H4,9971,0.952
BAZ1A,11177,SMARCA5,8467,0.984
HSH2D,84941,TNK2,10188,0.8
WNT1,7471,PORCN,64840,0.768
FLNA,2316,CAMK2G,818,0.883
EP300,2033,SS18,6760,0.984
UTP14A,10813,ARIH2,10425,0.936
PUF60,22827,FUBP1,8880,0.926
CDC2L5,8621,CHMP4A,29082,0.895
ABL1,25,NEDD9,4739,0.862
TFG,10342,TRIM25,7706,0.994
SPOP,8405,DDIT3,1649,0.984
GAPDH,2597,NR1H4,9971,0.984
CCL5,6352,CCR5,1234,0.87
P2RY2,5029,ITGB5,3693,0.999
