Gene Symbol,GeneID,Classification,Pathway
ACTG1,71,Other cellular process,Leukocyte transendothelial migration
TNFRSF21,27242,Signal transduction pathway,Signal transduction pathway
PPP2CB,5516,Signal transduction pathway,TGF-beta signaling pathway
SMAD5,4090,Signal transduction pathway,TGF-beta signaling pathway
HMOX2,3163,Metabolic pathway,Porphyrin and chlorophyll metabolism
PRKCA,5578,Signal transduction pathway,MAPK signaling pathway
CMTM6,54918,Other cellular process,Other cellular process
RAC3,5881,Signal transduction pathway,MAPK signaling pathway
PARK7,11315,Signal transduction pathway,Signal transduction pathway
CDK5,1020,Signal transduction pathway,Signal transduction pathway
PAK6,56924,Signal transduction pathway,ErbB signaling pathway
SNUPN,10073,Metabolic pathway,Metabolism of RNA
DUSP12,11266,Signal transduction pathway,Signal transduction pathway
PSMA7,5688,Signal transduction pathway,Apoptosis
RAD23B,5887,Other cellular process,DNA Repair
FAM107A,11170,Other cellular process,Other cellular process
MAD1L1,8379,Other cellular process,"Cell Cycle, Mitotic"
DNM2,1785,Signal transduction pathway,Signal transduction pathway
PIK3CA,5290,Signal transduction pathway,Insulin signaling pathway
PPM1A,5494,Signal transduction pathway,MAPK signaling pathway
DUSP7,1849,Signal transduction pathway,MAPK signaling pathway
BAK1,578,Signal transduction pathway,Apoptosis
NRAS,4893,Signal transduction pathway,Insulin signaling pathway
KLF10,7071,Signal transduction pathway,Signal transduction pathway
CSNK1E,1454,Signal transduction pathway,Wnt signaling pathway
AKT2,208,Signal transduction pathway,Insulin signaling pathway
CASP9,842,Signal transduction pathway,VEGF signaling pathway
BNIP3L,665,Other cellular process,Other cellular process
LRP1,4035,Signal transduction pathway,Signal transduction pathway
MAPKAPK5,8550,Signal transduction pathway,MAPK signaling pathway
GABARAPL2,11345,Other cellular process,Regulation of autophagy
TNFSF10,8743,Signal transduction pathway,Apoptosis
OSGEP,55644,Other cellular process,Other cellular process
AURKB,9212,Signal transduction pathway,Signal transduction pathway
TCL6,27004,Unknown biological process,Unknown biological process
RAG1AP1,55974,Other cellular process,Other cellular process
APCS,325,Other cellular process,Other cellular process
ARF4,378,Signal transduction pathway,Signal transduction pathway
MAPK8IP2,23542,Signal transduction pathway,MAPK signaling pathway
SH3GL1,6455,Signal transduction pathway,Signal transduction pathway
TUBA1B,10376,Metabolic pathway,Metabolism of proteins
PIAS3,10401,Signal transduction pathway,Jak-STAT signaling pathway
CBLC,23624,Signal transduction pathway,Insulin signaling pathway
BAD,572,Signal transduction pathway,Insulin signaling pathway
RPL35A,6165,Disease pathway,Diabetes pathways
MKNK1,8569,Signal transduction pathway,Insulin signaling pathway
SUPT4H1,6827,Other cellular process,Gene Expression
NUDT21,11051,Other cellular process,Gene Expression
WAS,7454,Signal transduction pathway,Signaling in Immune system
MAP3K11,4296,Signal transduction pathway,MAPK signaling pathway
PTPN7,5778,Signal transduction pathway,MAPK signaling pathway
GSK3B,2932,Signal transduction pathway,Insulin signaling pathway
MAPK13,5603,Signal transduction pathway,MAPK signaling pathway
C7orf36,57002,Unknown biological process,Unknown biological process
HSPB1,3315,Signal transduction pathway,MAPK signaling pathway
LOC63920,63920,Unknown biological process,Unknown biological process
MRPL44,65080,Other cellular process,Other cellular process
TFB2M,64216,Other cellular process,Transcription
C7orf25,79020,Unknown biological process,Unknown biological process
GADD45G,10912,Signal transduction pathway,MAPK signaling pathway
DYNC1I1,1780,Other cellular process,Other cellular process
CDC73,79577,Other cellular process,Other cellular process
MESDC2,23184,Other cellular process,Other cellular process
RPL13,6137,Disease pathway,Diabetes pathways
CALR,811,Signal transduction pathway,Signal transduction pathway
SELENBP1,8991,Other cellular process,Other cellular process
RAC2,5880,Signal transduction pathway,MAPK signaling pathway
UBE3A,7337,Other cellular process,Ubiquitin mediated proteolysis
SQSTM1,8878,Signal transduction pathway,Signalling by NGF
IGHV7-81,28378,Unknown biological process,Unknown biological process
PIK3R5,23533,Signal transduction pathway,Insulin signaling pathway
TMEM51,55092,Unknown biological process,Unknown biological process
NEK2,4751,Signal transduction pathway,Signal transduction pathway
CCL21,6366,Signal transduction pathway,Signaling by GPCR
PCYT2,5833,Metabolic pathway,Glycerophospholipid metabolism
MAPK7,5598,Signal transduction pathway,MAPK signaling pathway
BCL2L11,10018,Signal transduction pathway,Apoptosis
UBE2R2,54926,Other cellular process,Ubiquitin mediated proteolysis
NDUFA12,55967,Disease pathway,Diabetes pathways
CASP1,834,Signal transduction pathway,Signal transduction pathway
MAP3K12,7786,Signal transduction pathway,MAPK signaling pathway
CAV2,858,Other cellular process,Focal adhesion
NUP85,79902,Metabolic pathway,Metabolism of carbohydrates
TUBGCP3,10426,Other cellular process,"Cell Cycle, Mitotic"
EPHA8,2046,Signal transduction pathway,Signal transduction pathway
SERBP1,26135,Other cellular process,Other cellular process
UCHL1,7345,Disease pathway,Parkinson's disease
LUC7L2,51631,Unknown biological process,Unknown biological process
PSMD12,5718,Signal transduction pathway,Apoptosis
RABEPK,10244,Other cellular process,Other cellular process
TLE2,7089,Signal transduction pathway,Signal transduction pathway
REC8,9985,Other cellular process,"Cell Cycle, Mitotic"
UFD1L,7353,Other cellular process,Other cellular process
CDC25A,993,Signal transduction pathway,Signal transduction pathway
BDNF,627,Signal transduction pathway,MAPK signaling pathway
RAPGEF1,2889,Signal transduction pathway,Insulin signaling pathway
JOSD3,79101,Other cellular process,Other cellular process
MAPKAPK3,7867,Signal transduction pathway,MAPK signaling pathway
ANXA4,307,Signal transduction pathway,Signal transduction pathway
RPS10,6204,Disease pathway,Diabetes pathways
RAP1B,5908,Signal transduction pathway,MAPK signaling pathway
39699,23176,Other cellular process,Other cellular process
GORASP2,26003,Other cellular process,Other cellular process
RABAC1,10567,Unknown biological process,Unknown biological process
MEST,4232,Other cellular process,Other cellular process
ELK1,2002,Signal transduction pathway,Insulin signaling pathway
ILK,3611,Signal transduction pathway,Signal transduction pathway
MAP2K2,5605,Signal transduction pathway,Insulin signaling pathway
RASA1,5921,Signal transduction pathway,MAPK signaling pathway
PLA2G2A,5320,Signal transduction pathway,MAPK signaling pathway
RDH11,51109,Metabolic pathway,Retinol metabolism
MAGED2,10916,Unknown biological process,Unknown biological process
PTPRF,5792,Signal transduction pathway,Insulin signaling pathway
IRS1,3667,Signal transduction pathway,Insulin signaling pathway
DEFA1,1667,Other cellular process,Other cellular process
SH3GL2,6456,Signal transduction pathway,Signalling by NGF
CSK,1445,Signal transduction pathway,Signaling in Immune system
DCK,1633,Metabolic pathway,Metabolism of nucleotides
